title,location,bedrooms,bathrooms,garage,price,size,listing_type,source,price_per_sqm,total_rooms,size_category,prop_apartment,prop_house,prop_other,property_type
2 BEDROOM APARTMENT IN (MUSCAT HILLS),Muscat Hills,2.0,3.0,2.0,85000.0,12.07739,For Sale,hilal,7037.944456542349,5.0,Tiny,True,False,False,apartment
6 BEDROOM TWIN VILLA,Al Mawaleh,7.0,3.0,2.0,140000.0,27.8709,For Sale,hilal,5023.160357218461,10.0,Tiny,False,True,False,house
5 BEDROOM VILLA IN (MAABELLAH),Maabelah,6.0,3.0,2.0,75000.0,32.980565,For Sale,hilal,2274.0665601089613,9.0,Tiny,False,True,False,house
5 BEDROOM TWIN-VILLA IN ( AL MAWALEH),Al Mawaleh,6.0,3.0,2.0,130000.0,21.925108,For Sale,hilal,5929.27524005811,9.0,Tiny,False,True,False,house
4 BEDROOM VILLA IN (BAUSHER),Bausher,5.0,3.0,2.0,85000.0,27.963803,For Sale,hilal,3039.643785217626,8.0,Tiny,False,True,False,house
5 BEDROOM VILLA IN (BAUSHER),Bausher,6.0,3.0,2.0,250000.0,55.834703,For Sale,hilal,4477.502101157411,9.0,Tiny,False,True,False,house
2 BEDROOM RESORT IN ( BARKA),Barka,3.0,3.0,2.0,80000.0,37.1612,For Sale,hilal,2152.7830102364833,6.0,Tiny,False,False,True,other
RESIDENTIAL LAND  IN ( AL JAFNINE),Rusayl,3.0,3.0,2.0,41000.0,55.7418,For Sale,hilal,735.5341951641318,6.0,Tiny,False,False,True,other
5 BEDROOM VILLA IN (BAUHSER),Bausher,6.0,3.0,2.0,135000.0,27.8709,For Sale,hilal,4843.761773032087,9.0,Tiny,False,True,False,house
5 BEDROOM VILLA IN (ALGHUBRA),Al Ghoubrah,6.0,3.0,2.0,250000.0,55.7418,For Sale,hilal,4484.96460465934,9.0,Tiny,False,True,False,house
7 BEDROOM VILLA IN (ALANSAB),Al Ansab,7.0,3.0,2.0,220000.0,58.807598999999996,For Sale,hilal,3741.013129952815,10.0,Tiny,False,True,False,house
3 BEDROOM APARTMENT IN (ALANSAB),Al Ansab,3.0,3.0,2.0,39000.0,1.7465764000000001,For Sale,hilal,22329.39824447416,6.0,Tiny,True,False,False,apartment
5 BEDROOM DETACHED VILLA IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),7.0,3.0,3.0,292075.0,79.617871,For Sale,hilal,3668.4603133886867,10.0,Tiny,False,True,False,house
5 BEDROOM TWINVILLA IN (MAABELAH),Maabelah,7.0,3.0,2.0,72000.0,27.8709,For Sale,hilal,2583.33961228378,10.0,Tiny,False,True,False,house
5 BEDROOM TWINVILLA IN (FALAJ ALSHAM),Bausher,6.0,3.0,2.0,95000.0,21.553496,For Sale,hilal,4407.637628716938,9.0,Tiny,False,True,False,house
1 BEDROOM APARTMENT IN (ALKHOUD),Al Khoudh,2.0,3.0,2.0,32000.0,6.4288876,For Sale,hilal,4977.532971645048,5.0,Tiny,True,False,False,apartment
FURNISHED 2 BEDROOM APARTMENT IN     (MSQ),Madinat Qaboos (MQ),2.0,3.0,2.0,65000.0,37.1612,For Sale,hilal,1749.1361958171426,5.0,Tiny,True,False,False,apartment
FURNISHED 1 BEDROOM APARTMENT IN (MUSCAT BAY),MUSCAT BAY,1.0,3.0,2.0,85000.0,7.3393369999999996,For Sale,hilal,11581.42758671526,4.0,Tiny,True,False,False,apartment
2-BEDROOM APARTMENT,Unknown,3.0,3.0,2.0,35000.0,12.727711,For Sale,hilal,2749.9053050466027,6.0,Tiny,True,False,False,apartment
4-BEDROOM STANDALONE VILLA,Muscat Hills,5.0,3.0,2.0,292075.0,37.1612,For Sale,hilal,7859.67622143526,8.0,Tiny,False,True,False,house
OFFICE SPACE,Al Ghoubrah,3.0,3.0,2.0,650.0,37.1612,"For Rent, For Sale",hilal,17.491361958171424,6.0,Tiny,False,False,True,other
6 BEDROOM TWIN-VILLA,Al Khoudh,7.0,3.0,2.0,130000.0,38.276036,For Sale,hilal,3396.3809627517335,10.0,Tiny,False,True,False,house
6-BEDROOM DETACHED VILLA,Al Hail,7.0,3.0,2.0,292075.0,37.1612,For Sale,hilal,7859.67622143526,10.0,Tiny,False,True,False,house
3 BEDROOM TOWNHOUSE,Al Khoudh,3.0,3.0,2.0,80000.0,18.487697,For Sale,hilal,4327.2020306260965,6.0,Tiny,False,True,False,house
8 BEDROOM DETACHED VILLA IN (MAWALLEH),Al Mawaleh,7.0,3.0,4.0,292075.0,62.24501,For Sale,hilal,4692.344012797171,10.0,Tiny,False,True,False,house
7 BEDROOM DETACHED VILLA IN (AL KHUWAIR),Al Khuwair,7.0,3.0,1.0,85000.0,37.1612,For Sale,hilal,2287.3319483762634,10.0,Tiny,False,True,False,house
FULLY FURNISHED 2 BEDROOM APARTMENT,Salalah,2.0,3.0,1.0,90000.0,12.01700305,For Sale,hilal,7489.388129929784,5.0,Tiny,True,False,False,apartment
Luxury Apartment|Mouj Muscat |Freehold Ownership|Permanent Residency,"The Wave (Almouj), Muscat•",1.0,2.0,2.0,125000.0,10.21933,For Sale,dubizzle,12231.721649070929,3.0,Tiny,True,False,False,apartment
5 BR Spacious Villa in Azaiba Nearby Amenities,"Azaiba, Muscat•",5.0,4.0,2.0,197000.0,55.7418,For Sale,dubizzle,3534.15210847156,9.0,Tiny,False,True,False,house
Two Bedroom Seaview Apartment at Mandarin Oriental Muscat,"Qurum, Muscat•",2.0,3.0,2.0,292075.0,12.170293,For Sale,dubizzle,23999.011363161102,5.0,Tiny,True,False,False,apartment
Villa for Sale (Garden) - Sea View,"Yiti, Muscat•",4.0,6.0,2.0,292075.0,47.008918,For Sale,dubizzle,6213.182783743288,10.0,Tiny,False,True,False,house
Apartment for sale in Muscat- شقة للبيع في مسقط,"Yiti, Muscat•",1.0,2.0,2.0,87000.0,7.3393369999999996,For Sale,dubizzle,11853.931765226205,3.0,Tiny,True,False,False,apartment
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat","The Wave (Almouj), Muscat•",2.0,3.0,2.0,215000.0,13.470935,For Sale,dubizzle,15960.287834511857,5.0,Tiny,True,False,False,apartment
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"Al Khoud, Muscat•",3.0,4.0,2.0,150000.0,71.349504,For Sale,dubizzle,2102.327158434066,7.0,Tiny,False,True,False,house
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"Al Maabilah, Muscat•",6.0,6.0,2.0,120000.0,37.904424,For Sale,dubizzle,3165.8573679948286,12.0,Tiny,False,False,True,other
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"Barka, Al Batinah•",3.0,3.0,2.0,292075.0,125.00098650000001,For Sale,dubizzle,2336.5815596983307,6.0,Small,False,False,True,other
أرض للبيع او الاستثمار بناية سكنيه تجارية,"Al Buraimi, Al Buraimi•",3.0,3.0,2.0,250000.0,50.817941,For Sale,dubizzle,4919.522418273499,6.0,Tiny,False,False,True,other
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,"Ghala, Muscat•",3.0,3.0,2.0,500.0,125.00098650000001,For Sale,dubizzle,3.9999684322491325,6.0,Small,False,False,True,other
فيلا راقيه للبيع في الخوض السادسه,"Al Khoud, Muscat•",7.0,9.5,2.0,285000.0,57.042442,For Sale,dubizzle,4996.279787600958,16.5,Tiny,False,False,True,other
الأرض للبيع مساحه ٢١٠٨ م,"Barka, Al Batinah•",3.0,3.0,2.0,50000.0,125.00098650000001,For Sale,dubizzle,399.9968432249132,6.0,Small,False,False,True,other
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah","Al Sifah, Muscat•",2.0,2.0,2.0,95000.0,11.519972,For Sale,dubizzle,8246.5478214704,4.0,Tiny,True,False,False,apartment
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in","Al Amarat, Muscat•",4.0,6.0,2.0,98000.0,18.116084999999998,For Sale,dubizzle,5409.557307773727,10.0,Tiny,False,True,False,house
2Bedroom Lake View Apartment for Sale in Hawana Salalah,"Salalah, Dhofar•",2.0,2.0,2.0,85000.0,11.14836,For Sale,dubizzle,7624.439827920878,4.0,Tiny,True,False,False,apartment
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,"Salalah, Dhofar•",1.0,1.0,2.0,50000.0,5.109665,For Sale,dubizzle,9785.377319256742,2.0,Tiny,True,False,False,apartment
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,"Al Sifah, Muscat•",2.0,2.0,2.0,95000.0,11.984487,For Sale,dubizzle,7926.914184979299,4.0,Tiny,False,True,False,house
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City","Al Seeb, Muscat•",4.0,3.0,2.0,175000.0,30.936699,For Sale,dubizzle,5656.712113984753,7.0,Tiny,False,True,False,house
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,"Sultan Haitham City, Muscat•",1.0,1.0,2.0,53922.0,6.224501,For Sale,dubizzle,8662.863095371018,2.0,Tiny,True,False,False,apartment
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat","The Wave (Almouj), Muscat•",2.0,3.0,2.0,215000.0,13.470935,For Sale,dubizzle,15960.287834511857,5.0,Tiny,True,False,False,apartment
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"Al Khoud, Muscat•",3.0,4.0,2.0,150000.0,71.349504,For Sale,dubizzle,2102.327158434066,7.0,Tiny,False,True,False,house
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"Al Maabilah, Muscat•",6.0,6.0,2.0,120000.0,37.904424,For Sale,dubizzle,3165.8573679948286,12.0,Tiny,False,False,True,other
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"Barka, Al Batinah•",3.0,3.0,2.0,292075.0,125.00098650000001,For Sale,dubizzle,2336.5815596983307,6.0,Small,False,False,True,other
أرض للبيع او الاستثمار بناية سكنيه تجارية,"Al Buraimi, Al Buraimi•",3.0,3.0,2.0,250000.0,50.817941,For Sale,dubizzle,4919.522418273499,6.0,Tiny,False,False,True,other
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,"Ghala, Muscat•",3.0,3.0,2.0,500.0,125.00098650000001,For Sale,dubizzle,3.9999684322491325,6.0,Small,False,False,True,other
فيلا راقيه للبيع في الخوض السادسه,"Al Khoud, Muscat•",7.0,9.5,2.0,285000.0,57.042442,For Sale,dubizzle,4996.279787600958,16.5,Tiny,False,False,True,other
الأرض للبيع مساحه ٢١٠٨ م,"Barka, Al Batinah•",3.0,3.0,2.0,50000.0,125.00098650000001,For Sale,dubizzle,399.9968432249132,6.0,Small,False,False,True,other
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah","Al Sifah, Muscat•",2.0,2.0,2.0,95000.0,11.519972,For Sale,dubizzle,8246.5478214704,4.0,Tiny,True,False,False,apartment
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in","Al Amarat, Muscat•",4.0,6.0,2.0,98000.0,18.116084999999998,For Sale,dubizzle,5409.557307773727,10.0,Tiny,False,True,False,house
2Bedroom Lake View Apartment for Sale in Hawana Salalah,"Salalah, Dhofar•",2.0,2.0,2.0,85000.0,11.14836,For Sale,dubizzle,7624.439827920878,4.0,Tiny,True,False,False,apartment
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,"Salalah, Dhofar•",1.0,1.0,2.0,50000.0,5.109665,For Sale,dubizzle,9785.377319256742,2.0,Tiny,True,False,False,apartment
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,"Al Sifah, Muscat•",2.0,2.0,2.0,95000.0,11.984487,For Sale,dubizzle,7926.914184979299,4.0,Tiny,False,True,False,house
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City","Al Seeb, Muscat•",4.0,3.0,2.0,175000.0,30.936699,For Sale,dubizzle,5656.712113984753,7.0,Tiny,False,True,False,house
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,"Sultan Haitham City, Muscat•",1.0,1.0,2.0,53922.0,6.224501,For Sale,dubizzle,8662.863095371018,2.0,Tiny,True,False,False,apartment
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,"Al Sifah, Muscat•",2.0,2.0,2.0,73000.0,11.14836,For Sale,dubizzle,6548.048322802636,4.0,Tiny,True,False,False,apartment
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,"Al Sifah, Muscat•",2.0,3.0,2.0,170000.0,13.00642,For Sale,dubizzle,13070.468276435791,5.0,Tiny,False,False,True,other
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah","Al Sifah, Muscat•",2.0,2.0,2.0,110000.0,11.519972,For Sale,dubizzle,9548.634319597306,4.0,Tiny,True,False,False,apartment
