Title,Location,Bedrooms,Bathrooms,Garage,Price,Size,Listing_Type
Villa for Sale with 5 BHK in Muscat Yiti,"Yiti, Muscat•",5,6,Not specified,"OMR 1,506,534Freehold",487 SQM,For Sale
Villa for Sale with 4 BHK in Muscat Yiti,"Yiti, Muscat•",4,4,Not specified,"OMR 274,596Freehold",260.11 SQM,For Sale
7 bedroom villa for sale in sultan haitham city,"Sultan Haitham City, Muscat•",7,7,Not specified,"OMR 310,000Freehold",413 SQM,For Sale
4 bedroom apartment for sale in sultan haitham city muscat,"Sultan Haitham City, Muscat•",4,4,Not specified,"OMR 204,000Freehold",272 SQM,For Sale
3 bedroom apartment for sale in sultan haitham city,"Sultan Haitham City, Muscat•",3,4,Not specified,"OMR 163,050Freehold",217 SQM,For Sale
2 bedroom apartment for sale in sultan haitham city muscat,"Sultan Haitham City, Muscat•",2,3,Not specified,"OMR 110,000Freehold",147 SQM,For Sale
2 bedroom apartment for sale in sultan haitham city,"Sultan Haitham City, Muscat•",2,3,Not specified,"OMR 70,850Freehold",109 SQM,For Sale
Villa for Sale with 5 Bedrooms in Muscat Bay,"Qantab, Muscat•",5,6,Not specified,"OMR 1,025,000Freehold",646 SQM,For Sale
Apartment for Sale in almouj marina 2 bedroom,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 245,500Freehold",145 SQM,For Sale
Villa for Sale with 4 Bedrooms byTrump International Hotel,"Yiti, Muscat•",4,4,Not specified,"OMR 514,755Freehold",170 SQM,For Sale
Aparment for sale 3BHK in Muscat Bay,"Qantab, Muscat•",3,3,Not specified,"OMR 199,000Freehold",171 SQM,For Sale
Apartment for Sale in Al Mouj with 2 bedrooms,"The Wave (Almouj), Muscat•",2,1,Not specified,"OMR 175,000Freehold",224 SQM,For Sale
Villa for Sale in Al Mouj Muscat with 6 Bedrooms,"The Wave (Almouj), Muscat•",6,7,Not specified,"OMR 1,406,000Freehold",907 SQM,For Sale
5 bedroom villa for sale in Almouj Muscat,"The Wave (Almouj), Muscat•",5,6,Not specified,"OMR 499,000Freehold",427 SQM,For Sale
شقة للبيع في المعبيلة الجنوبية – بسعر معقول Apartment for Sale in Sout,"Al Maabilah, Muscat•",2,2,Not specified,"OMR 28,000Non Freehold",105 SQM,For Sale
للبيع شقة فخمة في المزن ريزيدنس - بلوك B | Luxury Apartment for Sale i,"Al Mawaleh, Muscat•",2,2,Not specified,"OMR 48,500Non Freehold",109 SQM,For Sale
1 BR Freehold Off-Plan Apartment in Aida – Yiti,"Yiti, Muscat•",1,2,Not specified,"OMR 61,293Freehold",71 SQM,For Sale
For Sale Villa 4BHK - Al Qurum,"Qurum, Muscat•",4,4,Not specified,"OMR 115,000Negotiable",260 SQM,For Sale
For Sale Fully Furnished Villa - Jebel Saifah,"Al Sifah, Muscat•",3,4,Not specified,"OMR 170,000Freehold",145 SQM,For Sale
One-Bedroom Apartment  – Al Mouj Golf Links | 83 m² | Payment Plan,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 155,900Freehold",83 SQM,For Sale
For Sale 1 Bhk Flat In Al Mouj LAGOON,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 110,000Negotiable",107 SQM,For Sale
For Sale 2 BHK Flat In Al Mouj Lagoon,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 145,000Negotiable",127 SQM,For Sale
For sale a farm in Al Suwaiq - Al Nabra,"Suwaiq, Al Batinah•",6,8,Not specified,"OMR 1,100,000Negotiable","15,430 SQM",For Sale
For Sale Brand New 5 Bhk Villa In Al Khoud,"Al Khoud, Muscat•",5,6,Not specified,"OMR 137,000Non Freehold",420 SQM,For Sale
For Sale Studio Free Hold Property /  In Muscat Bay,"Yiti, Muscat•",1,1,Not specified,"OMR 74,000Negotiable",83 SQM,For Sale
For Sale 3+1 Villa In Muscat Hills Free Hold,"Muscat Hills, Muscat•",3,4,Not specified,"OMR 224,000Negotiable",280 SQM,For Sale
For Sale  Residential Commercial Land In Qurum 29,"Qurum, Muscat•",Not specified,Not specified,Not specified,"OMR 1,000,000","2,500 SQM",For Sale
For Sale 2 Bhk In Rimal Boucher,"Bosher, Muscat•",2,3,Not specified,"OMR 75,000Negotiable",103 SQM,For Sale
For Sale Shop in Boucher / Gubara South Behind Asala Towers,"Al Ghubrah, Muscat•",Not specified,Not specified,Not specified,"OMR 41,900Non Freehold",31 SQM,For Sale
For Sale 1 Bhk In Boucher Near to Ammar ibn Yasir  Mosque,"Bosher, Muscat•",1,2,Not specified,"OMR 29,000Non Freehold",67 SQM,For Sale
For Sale residential Commercial Land In Ghala Hits,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 2,500,000Negotiable","20,013 SQM",For Sale
For Sale Flats And Offices In Ghala (Residential Commercial Building),"Ghala, Muscat•",1,2,Not specified,"OMR 25,000Non Freehold",55 SQM,For Sale
free Hold property any Nationalities can buy,"Al Khoud, Muscat•",1,1,Not specified,"OMR 39,900Freehold",47 SQM,For Sale
For Sale Free Hold Open Spaces In Muscat Hills,"Muscat Hills, Muscat•",Not specified,Not specified,Not specified,"OMR 40,845Freehold",38.9 SQM,For Sale
For Sale 1 Bhk Flat In Boucher First line directly opposite Oman Mall,"Bosher, Muscat•",1,2,Not specified,"OMR 35,500Non Freehold",79 SQM,For Sale
For Sale Free Hold Studio In Maident Al Sultan Hyathem,"Al Seeb, Muscat•",Studio,1,Not specified,"OMR 33,250Freehold",50 SQM,For Sale
3 BR Limited Offer Furnished Freehold Townhouse in Sultan Haitham City,"Al Maabilah, Muscat•",3,4,Not specified,"OMR 176,000Freehold",240 SQM,For Sale
1 BR Limited Offer Freehold Furnished Apartment in Sultan Haitham City,"Al Maabilah, Muscat•",1,2,Not specified,"OMR 56,500Freehold",50 SQM,For Sale
AMERAT | MODERN 4 BEDROOM VILLA FOR SALE,"Al Amarat, Muscat•",4,5,Not specified,"OMR 102,000Non Freehold",270 SQM,For Sale
شقة للبيع في مجمع المُزن – الموالح الشمالية | Apartment for Sale in Al,"Al Mawaleh, Muscat•",1,2,Not specified,"OMR 40,000Non Freehold",71 SQM,For Sale
*شقة للبيع - مبنى الطيف ١*  الخوض شارع مزون إعلان رقم 44,"Al Khoud, Muscat•",2,2,Not specified,"OMR 33,500Non Freehold",110 SQM,For Sale
للبيع فندق في المعبيلة – موقع مميز وفرصة استثمارية,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 500,000Non Freehold","2,400 SQM",For Sale
شقة راقية للبيع في الطيف 1 - الخوض 7,"Al Khoud, Muscat•",2,2,Not specified,"OMR 37,000Non Freehold",90 SQM,For Sale
شقق راقية تحت الانشاء للبيع في المعبيلة الجنوبية المرحلة الثامنة,"Al Maabilah, Muscat•",2,3,Not specified,"OMR 26,000Non Freehold",100 SQM,For Sale
فيلا راقية للبيع خوض 6,"Al Khoud, Muscat•",7,7,Not specified,"OMR 99,000Non Freehold",329 SQM,For Sale
"Luxurious apartments under construction for sale in Maabilah South, 8","Al Maabilah, Muscat•",2,3,Not specified,"OMR 25,500Non Freehold",96.07 SQM,For Sale
شقة راقية للبيع في شادن – الحيل الشمالية | Elegant Apartment for Sale,"Al Hail, Muscat•",1,2,Not specified,"OMR 35,000Non Freehold",80 SQM,For Sale
Spacious 2BHK Duplex Apartment For Sale in Sultan Haitham City- Muscat,"Sultan Haitham City, Muscat•",2,4,Not specified,"OMR 105,424Freehold",138.27 SQM,For Sale
Spacious Corner 3BHK Townhouse For Sale in Sultan Haitham City- Muscat,"Sultan Haitham City, Muscat•",3,4,Not specified,"OMR 114,600Freehold",194.13 SQM,For Sale
Corner 4 BHK Townhouse For Sale in Hay Alwafa - Sultan Haitham City,"Sultan Haitham City, Muscat•",4,5,Not specified,"OMR 123,300Freehold",206 SQM,For Sale
Spacious 4 BHK Townhouse For Sale in Hay Alwafa - Sultan Haitham City,"Sultan Haitham City, Muscat•",4,5,Not specified,"OMR 121,200Freehold",205.34 SQM,For Sale
Luxurious 5 BHK Villa For Sale in Hay Alwafa - Sultan Haitham City,"Sultan Haitham City, Muscat•",5,7,Not specified,"OMR 292,200Freehold",508.11 SQM,For Sale
AMERAT | MODERN 4 BEDROOM VILLA,"Al Amarat, Muscat•",4,5,Not specified,"OMR 102,000Non Freehold",265 SQM,For Sale
Modern 1 BHK Apartment with Balcony for Sale in Sustainable City- Yiti,"Yiti, Muscat•",1,2,Not specified,"OMR 93,394Freehold",82.3 SQM,For Sale
شقه للبيع علي شارع مزون بجوار  مسجد السيده مزون,"Al Khoud, Muscat•",1,2,Not specified,"OMR 26,000Non Freehold",70 SQM,For Sale
للبيع ارض صناعي ف منطقه الجفنين مساحه واسعه وبها ورشه بها دخل شهري,"Muscat - Other, Muscat•",Not specified,Not specified,Not specified,"OMR 120,000Non Freehold","1,000 SQM",For Sale
فرصة استثمارية مميزة_ مكتب للبيع فى بوشر قرب عمان مول,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 60,000Negotiable",63 SQM,For Sale
Freehold Luxurious 1 BHK Apartment For Sale in Muscat Bay,"Muscat - Other, Muscat•",1,1,Not specified,"OMR 88,780Freehold",79.09 SQM,For Sale
Lavish 3 BHK Penthouse with Pool for Sale in Wadi Zaha | Payment Plan,"Al Seeb, Muscat•",3,5,Not specified,"OMR 158,186Freehold",195 SQM,For Sale
Luxurious 5BHK Villa for Sale in AIDA OCEANA | Flexible Payment Plan,"Yiti, Muscat•",5,6,Not specified,"OMR 646,500Freehold","3,862 SQM",For Sale
For Sale Free Hold Units In Sultan Haythem City Hay Al Wafaa,"Sultan Haitham City, Muscat•",1,2,Not specified,"OMR 48,600Freehold",67.52 SQM,For Sale
For Sale Free Hold One Bhk And Two Bhk In The Sustainable City (Yiti),"Yiti, Muscat•",1,2,Not specified,"OMR 90,000Freehold",80 SQM,For Sale
Free Hold property For Sale Fully Furnished Studio Apartment,"Al Khoud, Muscat•",Studio,1,Not specified,"OMR 39,900Freehold",45 SQM,For Sale
Freehold property/Any Nationalities can buy. For Sale Fully Furnished,"Al Khoud, Muscat•",1,1,Not specified,"OMR 47,300Freehold",56 SQM,For Sale
For Sale 2 Bhk Apartment In Salalah ( Arina Residence),"Salalah, Dhofar•",2,3,Not specified,"OMR 58,500Freehold",110 SQM,For Sale
For Sale 1 Bhk & 2 Bhk Apartments in Boucher (Boucher 94),"Bosher, Muscat•",1,2,Not specified,"OMR 28,500Non Freehold",50.8 SQM,For Sale
Stylish Studio with Stunning View for Sale in Jebel Sifah,"Al Sifah, Muscat•",Studio,1,Not specified,"OMR 45,000Freehold",52 SQM,For Sale
Luxurious 2BHK Apartment With Balcony For Sale in Uptown Muscat,"Muscat - Other, Muscat•",2,3,Not specified,"OMR 119,394Freehold",154.716 SQM,For Sale
Luxury Spacious 2BHK Apartment For Sale in Uptown Muscat,"Muscat - Other, Muscat•",2,3,Not specified,"OMR 106,731Freehold",129.65 SQM,For Sale
Spacious Beachfront 1 BHK Apartment in The Residence Mandarin Oriental,"Muscat - Other, Muscat•",1,2,Not specified,"OMR 200,432Freehold",81.68 SQM,For Sale
Luxury Furnished 3BHK Villa For Sale in Trump Cliff Villas - Muscat,"Muscat - Other, Muscat•",3,5,Not specified,"OMR 722,318Freehold",166.01 SQM,For Sale
SR- AR- 153 Villa for sale in almawaleh south/فيلا للبيع في الموالح ال,"Al Mawaleh, Muscat•",4,5,Not specified,"OMR 110,000Non Freehold",330 SQM,For Sale
Upscale Furnished 3 BHK Villa for Sale in Trump Cliff Villas - Muscat,"Muscat - Other, Muscat•",3,5,Not specified,"OMR 664,200Freehold",166.01 SQM,For Sale
Luxurious Furnished 3 BHK Villa for Sale in Trump Cliff Villa - Muscat,"Muscat - Other, Muscat•",3,4,Not specified,"OMR 455,287Freehold",128.48 SQM,For Sale
Luxurious 3BHK Sky Villa for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",3,4,Not specified,"OMR 113,114Freehold",133 SQM,For Sale
Spacious 2 BHK Apartment for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",2,3,Not specified,"OMR 90,474Freehold",106 SQM,For Sale
Modern Apartment for Sale in Al Mouj – Marsa Garden | 145.6 m²,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 160,000Freehold",145 SQM,For Sale
Furnished 1-Bedroom Apartment with Golf View for Sale in Jebel Sifah,"Al Sifah, Muscat•",1,1,Not specified,"OMR 53,500Freehold",61 SQM,For Sale
For Sale  1bedroom In Maident Al Sultan Hyathem 5y installment,"Sultan Haitham City, Muscat•",1,2,Not specified,"OMR 58,000Freehold",75 SQM,For Sale
luxury flat in lagoun with installment,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 110,000Negotiable",95 SQM,For Sale
LUXURY FLAT IN MUSCAT HILLS WITH REVENUE,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 65,000Freehold",85 SQM,For Sale
the opportunity to take the free hold visa with special price,"Muscat Hills, Muscat•",Not specified,Not specified,Not specified,"OMR 35,000Freehold",22 SQM,For Sale
luxury ground floor in the best building inside almouj juman 1,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 110,000Negotiable",88.6 SQM,For Sale
offer for limitted time flat in juman 2 with special price,"The Wave (Almouj), Muscat•",2,3,Not specified,"OMR 210,000Freehold",145 SQM,For Sale
one Bedroom Apartment with Golf Lake View for Sale in Jebel Sifah,"Al Sifah, Muscat•",1,1,Not specified,"OMR 60,000Freehold",83 SQM,For Sale
luxury flat in the best building in muscat hills,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 66,000Freehold",96 SQM,For Sale
luxury studio in muscat hills with 3 years installment,"Muscat Hills, Muscat•",Studio,1,Not specified,"OMR 47,000Freehold",60 SQM,For Sale
luxury flat in muscat hills with 3years installment,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 65,000Freehold",80 SQM,For Sale
Exclusive Studio with Stunning View for Sale in Jebel Sifah,"Al Sifah, Muscat•",Studio,1,Not specified,"OMR 48,000Freehold",58 SQM,For Sale
Exclusive Studio with Stunning View for Sale in Hawana Salalah,"Salalah, Dhofar•",Studio,1,Not specified,"OMR 45,000Freehold",38 SQM,For Sale
"Exclusive Sea View 2+1 Bedroom Apartment, Jebel Sifah   شقة 2 غرف سيفة","Al Sifah, Muscat•",2,2,Not specified,"OMR 115,000Negotiable",124 SQM,For Sale
"‎شقة أرضية غرفتين، هوانا صلالة | Ground Floor 2BHK, Hawana Salalah","Salalah, Dhofar•",2,2,Not specified,"OMR 80,000Freehold",125 SQM,For Sale
Stunning 2 Bedrooms Apartment for Sale in Jebel Sifah,"Al Sifah, Muscat•",2,2,Not specified,"OMR 140,000Freehold",159 SQM,For Sale
Luxury Villa for Sale in jebel Sifah | فيلا فاخرة للبيع في جبل سيفة,"Al Sifah, Muscat•",5,5,Not specified,"OMR 1,400,000Freehold",650 SQM,For Sale
شقة 3 غرف نوم في مدينة السلطان هيثم | Bedroom Apartment 3BHK,"Sultan Haitham City, Muscat•",3,3,Not specified,"OMR 104,970Freehold",154 SQM,For Sale
احجز شقتك الآن في مدينة السلطان هيثم | Book Your Apartment 2BHK Now,"Sultan Haitham City, Muscat•",2,2,Not specified,"OMR 73,470Freehold",109.2 SQM,For Sale
أجدد فلل الموج في جنان الموج مسقط | Jinan 6BHK Villa in Al Mouj Muscat,"The Wave (Almouj), Muscat•",6,8,Not specified,"OMR 1,406,000Freehold","1,003 SQM",For Sale
شقة فاخرة في الموج – مروج,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 80,000Freehold",61 SQM,For Sale
3 Bedroom Villa for Sale in Aida,"Yiti, Muscat•",3,3,Not specified,"OMR 169,500Freehold",125 SQM,For Sale
3 Bedroom Courtyard Villa for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",3,5,Not specified,"OMR 305,000Freehold",265 SQM,For Sale
1 Bedroom Apartment For Sale in Juman 1,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 145,000Freehold",93 SQM,For Sale
Fully Modified 4 Bedroom Villa for Sale in Al Mouj,"The Wave (Almouj), Muscat•",4,6,Not specified,"OMR 420,000Freehold",525 SQM,For Sale
Lovely 4 Bedroom Villa for Sale in Al Mouj,"The Wave (Almouj), Muscat•",Not specified,Not specified,Not specified,"OMR 425,000",619 SQM,For Sale
1 Bedroom Apartment with Sea View for Sale,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 150,000Freehold",84 SQM,For Sale
2 Bedroom Partial Marina View Apartment for Sale,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 163,000Freehold",131 SQM,For Sale
3 Bedroom Courtyard Villa for Sale in Al Mouj,"The Wave (Almouj), Muscat•",3,5,Not specified,"OMR 300,000Freehold",269 SQM,For Sale
Beautiful 4 Bedroom Villa for Sale in Al Mouj,"The Wave (Almouj), Muscat•",4,6,Not specified,"OMR 395,000Freehold",445 SQM,For Sale
3 Bedroom Townhouse for Sale in Al Mouj,"The Wave (Almouj), Muscat•",3,4,Not specified,"OMR 200,000Freehold",217 SQM,For Sale
2 Bedroom Furnished Townhouse for Sale in Al Mouj,"The Wave (Almouj), Muscat•",2,3,Not specified,"OMR 165,000Freehold",197 SQM,For Sale
1 Bedroom Apartment with Sea View for Sale,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 148,000Freehold",83 SQM,For Sale
Lovely Villa for Sale in MSQ,"Madinat As Sultan Qaboos, Muscat•",5,7,Not specified,"OMR 430,000Non Freehold",720 SQM,For Sale
1 Bedroom Apartment for Sale in Juman 2,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 135,000Freehold",91 SQM,For Sale
4 Bedroom Villa For Sale in Muscat Hills,"Muscat Hills, Muscat•",4,6,Not specified,"OMR 425,000Freehold",450 SQM,For Sale
Beautiful 2 Bedroom Plus Study Sea View Apartment for Sale in Al Mouj,"The Wave (Almouj), Muscat•",2,4,Not specified,"OMR 195,000Freehold",157 SQM,For Sale
5 Bedroom Fully Extended Villa for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",5,7,Not specified,"OMR 385,000Freehold",630 SQM,For Sale
3 BR + Maid’s Room Luxury Villa – Muscat Hills,"Muscat Hills, Muscat•",3,4,Not specified,"OMR 390,000Negotiable",471 SQM,For Sale
7 Bedroom Renovated Villa for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",7,9,Not specified,"OMR 700,000Freehold",560 SQM,For Sale
Offplan 3 Bedroom Townhouse for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",3,5,Not specified,"OMR 200,000Freehold",202 SQM,For Sale
Exclusive 6 Bedroom Offplan Villa in Al Mouj Muscat,"The Wave (Almouj), Muscat•",6,8,Not specified,"OMR 1,580,000Freehold",907.5 SQM,For Sale
2 Bedroom Apartment For Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",2,4,Not specified,"OMR 190,000Freehold",156 SQM,For Sale
Elegant 5 Bedroom Villa with Lake View for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",5,7,Not specified,"OMR 525,000Freehold",534 SQM,For Sale
أرض كورنر واسعة على شارعين في الخوض – موقع مميز,"Al Khoud, Muscat•",Not specified,Not specified,Not specified,"OMR 270,000","1,320 SQM",For Sale
أرض سكنية زاوية + سكة بأول خط في الخوض – موقع استثنائي,"Al Khoud, Muscat•",Not specified,Not specified,Not specified,"OMR 245,000","1,331 SQM",For Sale
أرض كورنر بإطلالة بانورامية نادرة في القرم,"Qurum, Muscat•",Not specified,Not specified,Not specified,"OMR 290,000","1,000 SQM",For Sale
أرض سكنية تجارية في قلب غلا داون تاون – موقع استثماري نادر,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 425,000",878 SQM,For Sale
أرض سكنية تجارية استثمارية على الخط الأول – الموالح الجنوبية,"Al Mawaleh, Muscat•",Not specified,Not specified,Not specified,"OMR 1,025,000","31,501 SQM",For Sale
أرض سكنية تجارية نادرة على شارع السلطان قابوس – الموالح الجنوبية,"Al Mawaleh, Muscat•",Not specified,Not specified,Not specified,"OMR 3,000,000","10,000 SQM",For Sale
For Sale Elegant Villa in Al Mouj – Hadeeqat Al Ghadeer  Prime Loc,"The Wave (Almouj), Muscat•",4,4,Not specified,"OMR 295,000Negotiable",269 SQM,For Sale
Luxurious 2 BHK Apartment for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",2,3,Not specified,"OMR 80,835Freehold",95 SQM,For Sale
Luxury New Studio Apartment for Sale in Sultan Haitham City,"Sultan Haitham City, Muscat•",Studio,1,Not specified,"OMR 47,105Freehold",56 SQM,For Sale
Luxurious 3 BHK+Maids with Terrace for sale in Hay Alwafa,"Sultan Haitham City, Muscat•",3,4,Not specified,"OMR 119,889Freehold",154.81 SQM,For Sale
Freehold Ready 1 BR Zaha | Kitchen Appliances included | Muscat Bay,"Muscat - Other, Muscat•",1,1,Not specified,"OMR 98,995Freehold",79.09 SQM,For Sale
Freehold Ready 3BR Zaha Villa | Life-Time Oman Residency | Muscat Bay,"Muscat - Other, Muscat•",3,5,Not specified,"OMR 346,600Freehold",357.12 SQM,For Sale
Freehold Ready 4BR Zaha Villa | Life-Time Oman Residency | Muscat Bay,"Muscat - Other, Muscat•",4,6,Not specified,"OMR 569,000Freehold",422.24 SQM,For Sale
10% Down Payment | Attached Villa | Payment Plan | Aida Oceana,"Yiti, Muscat•",3,4,Not specified,"OMR 296,653Freehold",288.9 SQM,For Sale
Big Luxurious 3 BHK Apartment for sale in Sustainable City Yiti,"Yiti, Muscat•",3,4,Not specified,"OMR 223,705Freehold",172.03 SQM,For Sale
Standalone 4 BHK Villa with 20/80 Payment Plan for Sale in Wadi Zaha,"Al Seeb, Muscat•",4,5,Not specified,"OMR 340,016Freehold",388 SQM,For Sale
Dazzling View| Balcony| Spacious 2 BHK Apartment for Sale in Solaris,"Al Sifah, Muscat•",2,2,Not specified,"OMR 91,880Freehold",85.3 SQM,For Sale
عقارات مع اقامة دائمة | شقة غرفة نوم | موج مسقط | استثمار مربح,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 90,000Freehold",88 SQM,For Sale
شقة غرفة نوم | مسقط موج | تقسیط | تملک حر | طابق الاول | اطلاله جمیلة,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 100,000Freehold",107 SQM,For Sale
للبيع ارض سكني تجاري ف العامرات موقع مميز قريب من نيستو هايبر ماركت,"Al Amarat, Muscat•",Not specified,Not specified,Not specified,"OMR 115,000",400 SQM,For Sale
شقة 2غرف مسقط|تقسيطApartment for sale/freehold/4 years installments,"The Wave (Almouj), Muscat•",2,3,Not specified,"OMR 199,000Freehold",175 SQM,For Sale
للبيع ارض سكني تجارى ف موقع مميز منطقه غلا الصناعيه بجوار اوريدو عمان,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 400,000","1,928 SQM",For Sale
Safe investment in oman | Pre -sale | apartment's installment|freehold,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 125,000Freehold",83 SQM,For Sale
افخم قصور علی شاطی | اطلالة البحر مباشرة | 6 غرف نوم | اقامة دائمة,"The Wave (Almouj), Muscat•",6,7,Not specified,"OMR 4,200,000Freehold","1,845 SQM",For Sale
شقة للبیع | 1 غرفة نوم | تملک حر | مسقط موج | اطلالة المدینة,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 99,750Freehold",107 SQM,For Sale
Apartment for sale | 1-Br | Sustainable investment |freehold | Al mouj,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 80,000Freehold",65 SQM,For Sale
فيلا مستقلة للبيع في الموج مسقط | إطلالة ساحرة على البحيرة| تملک حر,"The Wave (Almouj), Muscat•",5,7,Not specified,"OMR 480,000Negotiable",680 SQM,For Sale
عرض ذهبی | محل تجاری للبیع | قید الانشاء | استثمار مربح | الموالح,"Al Mawaleh, Muscat•",Not specified,Not specified,Not specified,"OMR 44,000Non Freehold",44 SQM,For Sale
فیلا مستقلة للبیع | اطلالة البحیرة| موج مسقط |امتلاک حر لجمیع الجنسیات,"The Wave (Almouj), Muscat•",4,5,Not specified,"OMR 450,000Freehold",630 SQM,For Sale
Luxury Modern Studio for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",Studio,1,Not specified,"OMR 46,627Freehold",55 SQM,For Sale
SR- RF- 149 Villa for Sale Maabela /فيلا للبيع – المعبيلة,"Al Maabilah, Muscat•",6,7,Not specified,"OMR 95,000Non Freehold",370 SQM,For Sale
luxury 2 bedroom apartment in Murooj - شقة غرفتين فاخره في مروج,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 160,000Negotiable",129 SQM,For Sale
أرض سكني تجاري أول خط على شارع المها – بوشر الخوير,"Al Khuwair, Muscat•",Not specified,Not specified,Not specified,"OMR 295,000",400 SQM,For Sale
شقق جديدة وجاهزة للبيع في الخوض| Ready and new appartment for sale,"Al Khoud, Muscat•",2,2,Not specified,"OMR 41,000Negotiable",113 SQM,For Sale
شقق جديدة وجاهزة للبيع في الخوض| Ready and new appartment for sale,"Al Seeb, Muscat•",1,2,Not specified,"OMR 29,000Non Freehold",59 SQM,For Sale
شقق قيد الانشاء للبيع- بوشر|Off- plan Apartments for Sale,"Bosher, Muscat•",2,3,Not specified,"OMR 54,000Negotiable",119 SQM,For Sale
شقة للبيع في بناية سما الخوير-Apartment for Sale in Al Khuwair,"Al Khuwair, Muscat•",2,2,Not specified,"OMR 53,000Non Freehold",124.66 SQM,For Sale
للبيع فيلا بالمصنعه بتصميم عصري و مميز جدا فرصه ذهبيه ( استراحة ),"Al Masn'a, Al Batinah•",5,5,Not specified,"OMR 190,000Non Freehold","1,847 SQM",For Sale
For Sale Free Hold Studio In Maident Al Sultan Hyathem *Wadi Zaha*,"Al Maabilah, Muscat•",1,2,Not specified,"OMR 35,000Freehold",50 SQM,For Sale
SR- MH- 148 Villa for Sale in Al Amerat/ فيلا للبيع في العامرات,"Al Amarat, Muscat•",4,6,Not specified,"OMR 67,000Non Freehold",340 SQM,For Sale
2 BR + Maid’s Room Charming Farmhouse with Private Pool in Jebel Sifah,"Al Sifah, Muscat•",2,2,Not specified,"OMR 190,000Freehold",818 SQM,For Sale
2 BR Leasehold Amazing Apartment – Taqah Blue Beach | Salalah,"Salalah, Dhofar•",2,2,Not specified,"OMR 74,000Freehold",61.05 SQM,For Sale
"2 BR Freehold Luxurious Apartment –at Mandarin Oriental, Shatti","Qurum, Muscat•",2,3,Not specified,"OMR 298,082Freehold",132.01 SQM,For Sale
5 BR + Maid’s Room Freehold Modern Twin Villa in Sultan Haitham City,"Al Maabilah, Muscat•",5,6,Not specified,"OMR 174,650Freehold",249 SQM,For Sale
"1 BR Coastal Living Apartment – The Great Escape, AIDA by DarGlobal","Yiti, Muscat•",1,2,Not specified,"OMR 96,122Freehold",68 SQM,For Sale
"3 BR Leasehold Duplex Apartment Taqah Long beach, Salalah","Salalah, Dhofar•",3,4,Not specified,"OMR 125,000Freehold",111.55 SQM,For Sale
2 BR Off Plan Apartment with Private Garden in Ghala Heights,"Ghala, Muscat•",2,3,Not specified,"OMR 45,000Non Freehold",99 SQM,For Sale
1 BR Off Plan Apartment with Private Garden in Ghala Heights,"Ghala, Muscat•",1,2,Not specified,"OMR 35,000Non Freehold",67 SQM,For Sale
2 BR Fantastic Modern Townhouse in Al Mouj,"The Wave (Almouj), Muscat•",2,3,Not specified,"OMR 185,000Freehold",128.35 SQM,For Sale
1 BR Stunning Apartment – Al Mouj with Amenities,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 95,790Freehold",108 SQM,For Sale
1 BR Fantastic Apartment | Al Mouj,"The Wave (Almouj), Muscat•",1,2,Not specified,"OMR 95,790Freehold",107 SQM,For Sale
